上榜时间,股票代码,股票名称,现价,涨跌幅,成交额,上榜涨幅,榜间涨幅
2024-06-03 14:59:47,300458,全志科技,21.46,3.42,114341.49,0.19,0.05
2024-06-03 14:59:47,002463,沪电股份,33.48,7.14,237956.98,1.12,0.00
2024-06-03 14:59:47,002938,鹏鼎控股,30.19,0.97,53591.52,-0.30,0.00
2024-06-03 14:59:47,300661,圣邦股份,78.95,1.78,22541.17,-0.50,-0.30
2024-06-03 14:59:47,600171,上海贝岭,16.76,0.66,198106.01,-0.60,-0.72
2024-06-03 15:36:48,002463,沪电股份,33.45,7.04,240050.11,0.00,0.00
2024-06-03 15:36:48,002938,鹏鼎控股,30.19,0.97,54165.43,0.00,0.00
2024-06-03 15:36:48,300408,三环集团,29.42,1.13,29066.10,0.00,0.00
2024-06-03 15:36:48,300433,蓝思科技,15.52,1.44,58708.35,0.00,0.00
2024-06-03 15:36:48,300458,全志科技,21.46,3.42,115356.33,0.00,0.00
2024-06-03 15:36:48,300647,超频三,6.38,13.52,86509.35,0.00,0.00
2024-06-03 15:36:48,300661,圣邦股份,78.95,1.78,22783.75,0.00,0.00
2024-06-03 15:36:48,301329,信音电子,23.92,1.7,71796.27,0.00,0.00
2024-06-03 15:36:48,600171,上海贝岭,16.78,0.78,201315.52,0.00,0.00
2024-06-03 15:36:48,603890,春秋电子,11.45,6.51,128327.05,0.00,0.00
2024-06-04 09:35:53,300476,胜宏科技,30.6,4.69,32232.34
2024-06-04 09:35:53,002463,沪电股份,33.74,0.87,17336.11
2024-06-04 09:39:19,002736,国信证券,9.23,0.65,6526.43
2024-06-04 09:39:19,002463,沪电股份,33.6,0.45,24170.32
2024-06-04 09:39:19,002463,沪电股份,33.61,0.48,24262.40
2024-06-04 09:39:19,002463,沪电股份,33.55,0.3,24522.77
2024-06-04 09:39:19,002463,沪电股份,33.53,0.24,24594.89
2024-06-04 09:49:33,002736,国信证券,9.17,0.0,10488.22
2024-06-04 09:49:33,605058,澳弘电子,19.62,2.29,3677.59
2024-06-04 09:49:33,605058,澳弘电子,19.63,2.35,3683.87
2024-06-04 09:49:33,605058,澳弘电子,19.67,2.55,3692.13
2024-06-04 09:54:22,605058,澳弘电子,19.63,2.35,4038.33
2024-06-04 09:54:22,605058,澳弘电子,19.6,2.19,4044.80
2024-06-04 09:54:22,605058,澳弘电子,19.59,2.14,4062.63
2024-06-04 09:59:04,002736,国信证券,9.19,0.22,12937.73
2024-06-04 09:59:04,605058,澳弘电子,19.7,2.71,4311.23
2024-06-04 09:59:04,605058,澳弘电子,19.69,2.66,4315.96
2024-06-04 09:59:04,605058,澳弘电子,19.66,2.5,4330.71
2024-06-04 09:59:04,605058,澳弘电子,19.65,2.45,4334.25
2024-06-04 09:59:04,605058,澳弘电子,19.66,2.5,4345.25
2024-06-04 09:59:04,605058,澳弘电子,19.66,2.5,4346.23
2024-06-04 10:03:53,300476,胜宏科技,30.72,5.1,73361.58
2024-06-04 10:03:53,002463,沪电股份,33.63,0.54,46537.91
2024-06-04 10:03:53,600572,康恩贝,5.34,2.5,8829.16
2024-06-04 10:03:53,600976,健民集团,66.46,2.99,4271.78
2024-06-04 10:03:53,002736,国信证券,9.21,0.44,14172.08
2024-06-04 10:03:53,605058,澳弘电子,19.54,1.88,4510.30
2024-06-04 10:48:25,601328,交通银行,7.15,0.85,35147.34
2024-06-04 10:52:45,601328,交通银行,7.15,0.85,35819.71
2024-06-04 11:05:49,300476,胜宏科技,31.14,6.53,115554.38
2024-06-04 11:05:49,605058,澳弘电子,19.41,1.2,5525.83
2024-06-04 11:10:19,300476,胜宏科技,31.25,6.91,117497.91
2024-06-04 11:10:19,605058,澳弘电子,19.44,1.36,5560.43
2024-06-04 11:14:37,300476,胜宏科技,31.16,6.6,120187.01
2024-06-04 11:14:37,605058,澳弘电子,19.46,1.46,5595.09
2024-06-04 13:23:41,300552,万集科技,39.09,15.62,139725.32
2024-06-04 13:23:41,600996,贵广网络,8.82,1.38,66900.38
2024-06-04 13:23:41,300650,太龙股份,12.27,1.66,64733.66
2024-06-04 13:23:41,300822,贝仕达克,16.98,15.67,45486.60
2024-06-04 13:23:41,301339,通行宝,21.5,6.59,42414.79
